modello,indice,func_name,esito,n_test,passati,falliti,errori,cov_righe,cov_rami,cov_righe_ok,cov_rami_ok,dup_tutti,dup_passati
8b,0,is_degree_in_degree_range,fallito,6,1,5,0,94.1,91.7,70.6,41.7,0.0,0.0
8b,1,BinaryFromFraction,timeout,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8b,2,fix_labels,fallito,7,6,1,0,82.6,81.8,82.6,81.8,26.7,29.2
8b,3,x0x1_after_extraction,fallito,6,3,3,0,82.4,75.0,82.4,75.0,0.0,0.0
8b,4,_remove_strings,fallito,7,0,7,0,100.0,87.5,0.0,0.0,0.0,0.0
8b,5,can_blas,fallito,6,3,3,0,18.8,16.7,18.8,16.7,48.4,33.3
8b,6,deg2HMS,fallito,8,1,7,0,100.0,100.0,26.1,21.4,0.0,0.0
8b,7,single_defcom_extract,fallito,6,4,2,0,84.6,77.8,73.1,72.2,10.5,16.7
8b,8,get_allen_relation,fallito,7,3,4,0,48.3,38.5,41.4,30.8,0.0,0.0
8b,9,point_box_relation,fallito,6,0,6,0,73.9,66.7,0.0,0.0,32.0,0.0
8b,10,uoc_railfence_encrypt,fallito,7,3,4,0,100.0,92.9,100.0,92.9,6.9,0.0
8b,11,create_three_random_v_indices,fallito,8,6,2,0,100.0,83.3,100.0,83.3,50.0,50.0
8b,12,diffsents,fallito,6,0,6,0,92.6,91.7,0.0,0.0,29.0,0.0
8b,13,replacement_template,fallito,7,4,3,0,92.1,95.0,71.1,75.0,0.0,0.0
8b,14,needleman_wunsch0,fallito,7,0,7,0,100.0,100.0,0.0,0.0,48.8,0.0
8b,15,knapsack_indv,fallito,8,1,7,0,52.0,57.1,40.0,42.9,36.7,0.0
8b,16,next_holiday,fallito,7,3,4,0,41.2,37.9,22.7,22.7,6.9,0.0
8b,17,calc_query_pos_from_cigar,fallito,7,2,5,0,100.0,100.0,76.2,60.0,37.8,20.0
8b,18,get_processor_types_from_config_class,fallito,8,1,7,0,87.5,75.0,66.7,41.7,0.0,0.0
8b,19,maximal_matching_pairs,fallito,7,3,4,0,66.7,58.3,53.3,41.7,33.3,41.7
8b,20,lflverify,fallito,7,4,3,0,88.2,50.0,58.8,0.0,31.0,33.3
8b,21,longestNonWildcardSubsequence,fallito,8,0,8,0,100.0,100.0,0.0,0.0,53.7,0.0
8b,22,windows_k_distinct,fallito,5,2,3,0,100.0,91.7,68.8,66.7,8.0,16.7
8b,23,string_contrast,fallito,5,0,5,0,100.0,100.0,0.0,0.0,19.0,0.0
8b,24,max_rewards,fallito,6,2,4,0,23.8,19.2,23.8,19.2,0.0,0.0
8b,25,circle_line_segment_intersection,fallito,7,1,6,0,100.0,100.0,75.0,50.0,18.2,0.0
8b,26,initiate_board,fallito,8,5,3,0,100.0,100.0,100.0,100.0,24.2,21.1
8b,27,move_gain,fallito,8,0,8,0,50.0,22.2,0.0,0.0,76.7,0.0
8b,28,time_in_swiss_german,fallito,7,0,7,0,77.8,71.4,0.0,0.0,0.0,0.0
8b,29,columnTransCipher,fallito,8,4,4,0,94.1,92.9,94.1,92.9,51.1,42.9
8b,30,compute_convolution_output_dimensions,fallito,7,4,3,0,85.7,50.0,85.7,50.0,0.0,0.0
8b,31,get_trackletpair_t_range,fallito,8,0,8,0,52.9,33.3,0.0,0.0,51.2,0.0
8b,32,get_bw_weight,fallito,8,1,7,0,28.6,11.8,28.6,11.8,36.6,0.0
8b,33,coordinate_sorter,fallito,6,3,3,0,90.0,90.0,90.0,80.0,0.0,0.0
8b,34,get_past_goal_indices,fallito,7,2,5,0,80.0,64.3,80.0,64.3,33.3,20.0
8b,35,_normalized_vcf,fallito,6,1,5,0,76.5,50.0,76.5,50.0,43.6,0.0
8b,36,categorizeSentimentcomplex,fallito,7,3,4,0,66.7,61.8,64.1,58.8,0.0,0.0
8b,37,uniformate2,fallito,8,1,7,0,27.1,23.5,13.6,5.9,0.0,0.0
8b,38,wordparamcheck,fallito,7,0,7,0,38.1,27.3,0.0,0.0,24.1,0.0
8b,39,splitIA2Attribs,fallito,7,1,6,0,81.4,67.9,27.9,14.3,34.5,0.0
8b,40,decode_address_entry,fallito,8,0,8,0,75.9,64.3,0.0,0.0,42.4,0.0
8b,41,make_similar,fallito,6,4,2,0,100.0,0.0,100.0,0.0,32.0,31.2
8b,42,generateResultTree,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8b,43,identify_distance_type,fallito,8,2,6,0,57.1,76.3,16.7,18.4,0.0,0.0
8b,44,score_calculation_base,fallito,8,3,5,0,48.6,46.7,21.6,20.0,0.0,0.0
8b,45,min_edit_script,fallito,8,1,7,0,92.3,91.7,53.8,41.7,0.0,0.0
8b,46,common_conv2d_pool_output_shape,fallito,8,3,5,0,83.3,66.7,77.8,58.3,60.0,38.9
8b,47,featurize_finance,fallito,7,2,5,0,86.7,80.0,60.0,30.0,0.0,0.0
8b,48,tmux_format,fallito,6,0,6,0,100.0,91.7,0.0,0.0,15.4,0.0
8b,49,next_point_in_8_neigh,fallito,7,0,7,0,64.7,62.5,0.0,0.0,24.1,0.0
8b,50,cal_overlap_neg_strand,fallito,7,3,4,0,75.0,50.0,75.0,50.0,0.0,0.0
8b,51,find_repeat,fallito,8,0,8,0,42.3,28.6,0.0,0.0,24.0,0.0
8b,52,get_next_queen_recursion_coordinates,fallito,8,0,8,0,9.4,0.0,0.0,0.0,51.0,0.0
8b,53,calc_num_weights3,fallito,7,3,4,0,95.5,95.0,63.6,55.0,0.0,0.0
8b,54,get_intersect_point,fallito,8,0,8,0,47.6,25.0,0.0,0.0,53.1,0.0
8b,55,check_dead_corner,fallito,6,1,5,0,93.1,75.0,17.2,8.3,40.0,0.0
8b,56,formatTime,passato,6,6,0,0,100.0,100.0,100.0,100.0,0.0,0.0
8b,57,fileNamer,fallito,7,1,6,0,95.7,85.7,82.6,57.1,0.0,0.0
8b,58,detect_side,fallito,6,4,2,0,88.2,81.2,76.5,68.8,35.5,25.0
8b,59,circle_line_intersection,fallito,7,0,7,0,87.5,66.7,0.0,0.0,22.7,0.0
8b,60,fire_gun,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8b,61,rollDie,fallito,10,6,4,0,90.6,70.8,90.6,70.8,43.1,39.1
8b,62,idx_for_diag_se_from_tr,fallito,7,0,7,0,100.0,100.0,0.0,0.0,23.8,0.0
8b,63,idx_for_diag_se_from_bl,fallito,8,1,7,0,52.6,50.0,52.6,50.0,32.7,0.0
8b,64,remove_chars,fallito,7,2,5,0,64.7,50.0,64.7,50.0,0.0,0.0
8b,65,cigar_prefix_length,fallito,8,1,7,0,30.0,7.1,30.0,7.1,8.0,0.0
8b,66,get_segment_directions,fallito,8,0,8,0,100.0,100.0,0.0,0.0,36.4,0.0
8b,67,max2GetIdx,fallito,8,0,8,0,72.4,50.0,0.0,0.0,29.3,0.0
8b,68,getYAxisMinMaxGC,fallito,8,1,7,0,74.3,65.4,62.9,50.0,22.0,0.0
8b,69,calculate_possibility,fallito,8,3,5,0,47.8,45.5,32.6,29.5,36.6,13.3
8b,70,iterative_levenshtein,fallito,8,1,7,0,94.6,95.5,48.6,40.9,47.9,0.0
8b,71,centre_on_peak,fallito,7,2,5,0,92.9,81.2,10.7,6.2,23.3,25.0
8b,72,locate_alignment,fallito,6,0,6,0,100.0,100.0,0.0,0.0,51.4,0.0
8b,73,smooth_param,fallito,7,0,7,0,95.6,72.7,0.0,0.0,23.3,0.0
8b,74,look_up_latest_epoch,fallito,8,0,8,0,3.8,0.0,0.0,0.0,29.8,0.0
8b,75,find_adjacent_product,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8b,76,convert_location_to_pitch,fallito,7,1,6,0,57.1,27.3,8.6,4.5,0.0,0.0
8b,77,oracle2numpy,fallito,7,0,7,0,63.6,50.0,0.0,0.0,13.6,0.0
8b,78,turn_sequence,fallito,6,0,6,0,70.4,60.0,0.0,0.0,0.0,0.0
8b,79,count_leading_digits_var2,fallito,7,1,6,0,100.0,95.0,17.4,5.0,0.0,0.0
8b,80,calculate_circular_pile_set_positions,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8b,81,maximal_mesh_pattern_of_occurrence,fallito,6,0,6,0,50.0,37.5,0.0,0.0,44.0,0.0
8b,82,process_lines_for_spell,fallito,8,0,8,0,94.9,68.8,0.0,0.0,57.1,0.0
8b,83,crosscount,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8b,84,checkFormulas,fallito,8,0,8,0,55.6,50.0,0.0,0.0,68.3,0.0
8b,85,bound_line_in_box,fallito,8,2,6,0,82.4,64.3,64.7,42.9,57.9,35.7
8b,86,change_display,fallito,8,0,8,0,83.3,68.2,0.0,0.0,41.5,0.0
8b,87,oligo_complements,fallito,6,1,5,0,100.0,93.8,44.0,18.8,0.0,0.0
8b,88,get_text_point_at_line,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8b,89,bin_search_range,fallito,8,0,8,0,89.3,75.0,0.0,0.0,61.0,0.0
8b,90,descartes,fallito,6,0,6,0,100.0,100.0,0.0,0.0,32.0,0.0
8b,91,row_revile_indexes,fallito,7,1,6,0,66.7,58.3,66.7,58.3,18.2,0.0
8b,92,usage_bound,fallito,8,0,8,0,88.6,85.0,0.0,0.0,36.6,0.0
8b,93,define_neighbours,fallito,8,0,8,0,77.2,77.8,0.0,0.0,48.8,0.0
8b,94,_get_barchart_sizings,fallito,8,0,8,0,87.9,75.0,0.0,0.0,63.2,0.0
8b,95,flag_meaning,passato,7,7,0,0,63.6,61.5,63.6,61.5,0.0,0.0
8b,96,coord_finder,fallito,6,1,5,0,100.0,85.3,21.4,11.8,0.0,0.0
8b,97,__transform_coors,fallito,8,0,8,0,80.0,68.8,0.0,0.0,63.2,0.0
8b,98,lumen_type,fallito,8,0,8,0,83.3,80.8,0.0,0.0,66.2,0.0
8b,99,judge_1d100_with_7_ver,fallito,7,5,2,0,78.9,75.0,78.9,75.0,0.0,0.0
