modello,indice,func_name,stato,finish_reason,secondi,sintassi_valida,n_test,import_ok,numero_ok,nomi_ok,assert_ok,oracolo_ok,formato_ok
1b,77,oracle2numpy,scritto,stop,13.2,True,6,False,True,True,True,True,False
1b,78,turn_sequence,scritto,stop,28.4,False,,,,,,,
1b,79,count_leading_digits_var2,scritto,stop,29.5,True,8,False,True,True,True,True,False
1b,80,calculate_circular_pile_set_positions,scritto,stop,26.2,True,8,False,True,True,True,True,False
1b,81,maximal_mesh_pattern_of_occurrence,scritto,stop,23.8,True,8,False,True,True,True,True,False
1b,82,process_lines_for_spell,scritto,length,47.0,False,,,,,,,
1b,83,crosscount,scritto,stop,14.6,True,8,True,True,True,True,True,True
1b,84,checkFormulas,scritto,stop,26.4,True,8,False,True,True,True,True,False
1b,85,bound_line_in_box,scritto,stop,29.6,True,7,True,True,True,True,True,True
1b,86,change_display,scritto,stop,20.1,True,8,False,True,True,True,True,False
1b,87,oligo_complements,scritto,stop,16.2,True,7,False,True,True,True,True,False
1b,88,get_text_point_at_line,scritto,stop,20.2,True,6,False,True,True,True,True,False
1b,89,bin_search_range,scritto,stop,31.1,True,8,True,True,True,True,True,True
1b,90,descartes,scritto,stop,27.2,True,8,False,True,True,True,True,False
1b,91,row_revile_indexes,scritto,stop,17.7,True,7,False,True,True,True,True,False
1b,92,usage_bound,scritto,stop,18.5,True,7,True,True,True,True,True,True
1b,93,define_neighbours,scritto,stop,36.9,True,8,False,True,True,True,True,False
1b,94,_get_barchart_sizings,scritto,stop,40.0,True,8,False,True,True,True,True,False
1b,95,flag_meaning,scritto,stop,46.3,True,25,False,False,False,True,True,False
1b,96,coord_finder,scritto,stop,22.0,True,8,False,True,True,True,True,False
1b,97,__transform_coors,scritto,stop,22.1,True,8,False,True,True,True,True,False
1b,98,lumen_type,scritto,stop,27.3,True,8,False,True,True,True,True,False
1b,99,judge_1d100_with_7_ver,scritto,stop,19.1,True,7,False,True,True,True,True,False
3b,0,is_degree_in_degree_range,scritto,stop,34.3,True,7,True,True,True,True,True,True
3b,1,BinaryFromFraction,scritto,stop,33.8,True,7,True,True,True,False,True,False
3b,2,fix_labels,scritto,stop,28.9,True,8,True,True,True,True,True,True
3b,3,x0x1_after_extraction,scritto,stop,32.3,True,7,True,True,True,False,True,False
3b,4,_remove_strings,scritto,stop,28.6,True,7,True,True,True,True,True,True
3b,5,can_blas,scritto,stop,56.7,True,7,True,True,True,True,True,True
3b,6,deg2HMS,scritto,stop,32.4,True,7,True,True,True,True,True,True
3b,7,single_defcom_extract,scritto,stop,35.1,True,7,True,True,True,True,True,True
3b,8,get_allen_relation,scritto,stop,29.0,True,7,True,True,True,True,True,True
3b,9,point_box_relation,scritto,stop,34.0,True,7,True,True,True,True,True,True
3b,10,uoc_railfence_encrypt,scritto,stop,49.0,True,7,True,True,True,True,True,True
3b,11,create_three_random_v_indices,scritto,stop,40.2,True,7,True,True,True,False,True,False
3b,12,diffsents,scritto,stop,28.1,True,7,True,True,True,True,True,True
3b,13,replacement_template,scritto,stop,33.8,True,7,True,True,True,True,True,True
3b,14,needleman_wunsch0,scritto,stop,47.4,True,7,True,True,True,True,True,True
3b,15,knapsack_indv,scritto,stop,41.6,True,7,True,True,True,False,True,False
3b,16,next_holiday,scritto,stop,56.0,True,7,True,True,True,True,True,True
3b,17,calc_query_pos_from_cigar,scritto,stop,30.1,True,7,True,True,True,True,True,True
3b,18,get_processor_types_from_config_class,scritto,stop,35.7,True,7,True,True,True,True,True,True
3b,19,maximal_matching_pairs,scritto,stop,32.8,True,7,True,True,True,True,True,True
3b,20,lflverify,scritto,stop,26.9,True,7,True,True,True,False,True,False
3b,21,longestNonWildcardSubsequence,scritto,stop,37.2,True,7,True,True,True,True,True,True
3b,22,windows_k_distinct,scritto,stop,29.4,True,7,True,True,True,True,True,True
3b,23,string_contrast,scritto,stop,23.8,True,7,True,True,True,False,True,False
3b,24,max_rewards,scritto,stop,29.0,True,7,True,True,True,True,True,True
3b,25,circle_line_segment_intersection,scritto,stop,43.7,True,7,True,True,True,True,True,True
3b,26,initiate_board,scritto,stop,25.1,True,7,True,True,True,True,True,True
3b,27,move_gain,scritto,stop,39.8,True,7,True,True,True,True,True,True
3b,28,time_in_swiss_german,scritto,stop,34.1,True,7,True,True,True,True,True,True
3b,29,columnTransCipher,scritto,stop,25.7,True,8,True,True,True,True,True,True
3b,30,compute_convolution_output_dimensions,scritto,stop,31.9,True,7,True,True,True,True,True,True
3b,31,get_trackletpair_t_range,scritto,stop,44.4,True,7,True,True,True,False,True,False
3b,32,get_bw_weight,scritto,stop,47.2,True,7,True,True,True,True,True,True
3b,33,coordinate_sorter,scritto,stop,31.2,True,7,True,True,True,True,True,True
3b,34,get_past_goal_indices,scritto,stop,28.5,True,7,True,True,True,False,True,False
3b,35,_normalized_vcf,scritto,stop,35.9,True,7,True,True,True,False,True,False
3b,36,categorizeSentimentcomplex,scritto,stop,33.8,True,7,True,True,False,True,True,False
3b,37,uniformate2,scritto,stop,42.5,True,7,True,True,True,True,True,True
3b,38,wordparamcheck,scritto,stop,38.0,True,7,True,True,True,True,True,True
3b,39,splitIA2Attribs,scritto,stop,63.8,True,8,True,True,True,True,True,True
3b,40,decode_address_entry,scritto,stop,40.6,True,8,True,True,True,True,True,True
3b,41,make_similar,scritto,stop,22.8,True,7,True,True,True,False,True,False
3b,42,generateResultTree,scritto,stop,48.8,True,8,True,True,True,True,True,True
3b,43,identify_distance_type,scritto,stop,40.1,True,7,True,True,True,True,True,True
3b,44,score_calculation_base,scritto,stop,55.1,True,7,True,True,True,True,True,True
3b,45,min_edit_script,scritto,stop,28.9,True,8,True,True,True,True,True,True
3b,46,common_conv2d_pool_output_shape,scritto,stop,56.5,True,7,True,True,True,True,True,True
3b,47,featurize_finance,scritto,stop,32.2,True,7,True,True,True,True,True,True
3b,48,tmux_format,scritto,stop,32.0,True,7,True,True,True,True,True,True
3b,49,next_point_in_8_neigh,scritto,stop,38.1,True,8,True,True,True,True,True,True
3b,50,cal_overlap_neg_strand,scritto,stop,32.3,True,7,True,True,True,True,True,True
3b,51,find_repeat,scritto,stop,26.1,True,7,True,True,True,True,True,True
3b,52,get_next_queen_recursion_coordinates,scritto,stop,45.0,True,8,True,True,True,True,True,True
3b,53,calc_num_weights3,scritto,stop,31.2,True,7,True,True,True,True,True,True
3b,54,get_intersect_point,scritto,stop,28.2,True,7,True,True,True,True,True,True
3b,55,check_dead_corner,scritto,stop,29.2,True,7,True,True,True,True,True,True
3b,56,formatTime,scritto,stop,29.8,False,,,,,,,
3b,57,fileNamer,scritto,stop,33.4,True,7,True,True,True,True,True,True
3b,58,detect_side,scritto,stop,34.1,True,7,True,True,True,True,True,True
3b,59,circle_line_intersection,scritto,stop,39.9,True,7,True,True,True,True,True,True
3b,60,fire_gun,scritto,stop,39.0,True,8,True,True,True,True,True,True
3b,61,rollDie,scritto,stop,33.2,True,7,True,True,True,False,True,False
3b,62,idx_for_diag_se_from_tr,scritto,stop,36.6,True,7,True,True,True,True,True,True
3b,63,idx_for_diag_se_from_bl,scritto,stop,79.2,True,7,True,True,True,True,True,True
3b,64,remove_chars,scritto,stop,23.4,True,7,True,True,True,True,True,True
3b,65,cigar_prefix_length,scritto,stop,24.9,True,7,True,True,True,False,True,False
3b,66,get_segment_directions,scritto,stop,30.1,True,7,True,True,True,False,True,False
3b,67,max2GetIdx,scritto,stop,46.1,True,7,True,True,True,False,True,False
3b,68,getYAxisMinMaxGC,scritto,stop,34.1,True,7,True,True,True,True,True,True
3b,69,calculate_possibility,scritto,stop,47.3,True,7,True,True,True,True,True,True
3b,70,iterative_levenshtein,scritto,stop,36.8,True,6,True,True,True,True,True,True
3b,71,centre_on_peak,scritto,stop,39.6,True,7,True,True,True,True,True,True
3b,72,locate_alignment,scritto,stop,27.1,True,8,True,True,True,True,True,True
3b,73,smooth_param,scritto,stop,32.6,True,7,True,True,True,False,True,False
