modello,indice,func_name,finish_reason,secondi
3b,97,__transform_coors,stop,35.6
3b,98,lumen_type,stop,26.6
1b,0,is_degree_in_degree_range,stop,17.0
1b,1,BinaryFromFraction,stop,17.4
1b,2,fix_labels,stop,16.2
1b,3,x0x1_after_extraction,stop,15.7
1b,4,_remove_strings,stop,12.1
1b,5,can_blas,stop,18.2
1b,6,deg2HMS,stop,14.4
1b,7,single_defcom_extract,stop,16.4
1b,8,get_allen_relation,stop,14.6
1b,9,point_box_relation,stop,14.6
1b,10,uoc_railfence_encrypt,stop,32.8
1b,11,create_three_random_v_indices,stop,15.6
1b,12,diffsents,stop,14.1
1b,13,replacement_template,stop,17.4
1b,14,needleman_wunsch0,stop,26.3
1b,15,knapsack_indv,stop,19.8
1b,16,next_holiday,stop,19.8
1b,17,calc_query_pos_from_cigar,stop,20.0
1b,18,get_processor_types_from_config_class,stop,27.3
1b,19,maximal_matching_pairs,stop,18.8
1b,20,lflverify,stop,14.4
1b,21,longestNonWildcardSubsequence,stop,24.8
1b,22,windows_k_distinct,stop,21.3
1b,23,string_contrast,stop,16.9
1b,24,max_rewards,stop,32.6
1b,25,circle_line_segment_intersection,stop,25.2
1b,26,initiate_board,stop,14.2
1b,27,move_gain,stop,13.8
1b,28,time_in_swiss_german,stop,18.0
1b,29,columnTransCipher,stop,21.2
1b,30,compute_convolution_output_dimensions,stop,23.3
1b,31,get_trackletpair_t_range,stop,34.9
1b,32,get_bw_weight,stop,29.2
1b,33,coordinate_sorter,stop,17.6
1b,34,get_past_goal_indices,stop,16.8
1b,35,_normalized_vcf,stop,17.4
1b,36,categorizeSentimentcomplex,stop,34.9
1b,37,uniformate2,stop,33.8
1b,38,wordparamcheck,stop,41.4
1b,39,splitIA2Attribs,stop,29.1
1b,40,decode_address_entry,stop,20.0
1b,41,make_similar,stop,17.0
1b,42,generateResultTree,stop,20.8
1b,43,identify_distance_type,stop,31.8
1b,45,min_edit_script,stop,14.4
1b,46,common_conv2d_pool_output_shape,stop,36.8
1b,47,featurize_finance,stop,22.0
1b,48,tmux_format,stop,24.8
1b,49,next_point_in_8_neigh,stop,19.4
1b,50,cal_overlap_neg_strand,stop,33.8
1b,51,find_repeat,stop,33.5
1b,52,get_next_queen_recursion_coordinates,stop,44.3
1b,53,calc_num_weights3,stop,18.6
1b,54,get_intersect_point,stop,17.9
1b,55,check_dead_corner,stop,14.7
1b,56,formatTime,stop,13.9
1b,57,fileNamer,stop,17.0
1b,58,detect_side,stop,22.9
1b,59,circle_line_intersection,stop,22.7
1b,60,fire_gun,stop,36.7
1b,61,rollDie,stop,14.5
1b,62,idx_for_diag_se_from_tr,length,46.4
1b,63,idx_for_diag_se_from_bl,length,46.4
1b,64,remove_chars,stop,15.8
1b,65,cigar_prefix_length,stop,16.8
1b,66,get_segment_directions,stop,17.6
1b,67,max2GetIdx,stop,27.7
1b,68,getYAxisMinMaxGC,stop,15.8
1b,69,calculate_possibility,length,52.8
1b,70,iterative_levenshtein,stop,26.0
1b,71,centre_on_peak,stop,21.7
1b,72,locate_alignment,stop,12.7
1b,73,smooth_param,stop,19.7
1b,74,look_up_latest_epoch,stop,20.5
1b,75,find_adjacent_product,stop,21.3
1b,76,convert_location_to_pitch,stop,29.8
1b,77,oracle2numpy,stop,13.2
1b,78,turn_sequence,stop,28.4
1b,79,count_leading_digits_var2,stop,29.5
1b,80,calculate_circular_pile_set_positions,stop,26.2
1b,81,maximal_mesh_pattern_of_occurrence,stop,23.8
1b,82,process_lines_for_spell,length,47.0
1b,83,crosscount,stop,14.6
1b,84,checkFormulas,stop,26.4
1b,85,bound_line_in_box,stop,29.6
1b,86,change_display,stop,20.1
1b,87,oligo_complements,stop,16.2
1b,88,get_text_point_at_line,stop,20.2
1b,89,bin_search_range,stop,31.1
1b,90,descartes,stop,27.2
1b,91,row_revile_indexes,stop,17.7
1b,92,usage_bound,stop,18.5
1b,93,define_neighbours,stop,36.9
1b,94,_get_barchart_sizings,stop,40.0
1b,95,flag_meaning,stop,46.3
1b,96,coord_finder,stop,22.0
1b,97,__transform_coors,stop,22.1
1b,98,lumen_type,stop,27.3
8b,59,circle_line_intersection,stop,74.7
8b,60,fire_gun,length,165.0
8b,61,rollDie,stop,95.0
8b,62,idx_for_diag_se_from_tr,stop,123.8
8b,63,idx_for_diag_se_from_bl,stop,105.8
8b,64,remove_chars,stop,41.3
8b,65,cigar_prefix_length,stop,62.6
8b,66,get_segment_directions,stop,72.5
8b,67,max2GetIdx,stop,90.9
8b,68,getYAxisMinMaxGC,stop,95.3
8b,69,calculate_possibility,stop,111.4
8b,70,iterative_levenshtein,stop,125.7
8b,71,centre_on_peak,stop,81.5
8b,72,locate_alignment,stop,62.1
8b,73,smooth_param,stop,69.0
8b,74,look_up_latest_epoch,stop,144.3
8b,75,find_adjacent_product,length,173.8
8b,76,convert_location_to_pitch,stop,81.1
8b,77,oracle2numpy,stop,64.8
8b,78,turn_sequence,stop,43.7
8b,79,count_leading_digits_var2,stop,86.9
8b,80,calculate_circular_pile_set_positions,length,192.4
8b,81,maximal_mesh_pattern_of_occurrence,stop,75.4
8b,82,process_lines_for_spell,stop,147.8
8b,83,crosscount,length,168.9
8b,84,checkFormulas,stop,86.5
8b,85,bound_line_in_box,stop,174.4
8b,86,change_display,stop,72.4
8b,87,oligo_complements,stop,44.0
8b,88,get_text_point_at_line,length,172.0
8b,89,bin_search_range,stop,101.2
8b,90,descartes,stop,74.0
8b,91,row_revile_indexes,stop,76.1
8b,92,usage_bound,stop,88.7
8b,93,define_neighbours,stop,155.1
8b,94,_get_barchart_sizings,stop,125.4
8b,95,flag_meaning,stop,136.0
8b,96,coord_finder,stop,43.5
8b,97,__transform_coors,stop,118.8
8b,98,lumen_type,stop,148.8
1b,44,score_calculation_base,length,75.7
1b,99,judge_1d100_with_7_ver,stop,19.1
3b,44,score_calculation_base,stop,55.1
3b,45,min_edit_script,stop,28.9
3b,99,judge_1d100_with_7_ver,stop,36.8
8b,44,score_calculation_base,stop,138.6
8b,45,min_edit_script,stop,62.8
8b,99,judge_1d100_with_7_ver,stop,88.0
