modello,indice,func_name,esito,n_test,passati,falliti,errori,cov_righe,cov_rami,cov_righe_ok,cov_rami_ok,dup_tutti,dup_passati
1b,88,get_text_point_at_line,fallito,6,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,89,bin_search_range,fallito,8,0,8,0,85.7,68.8,0.0,0.0,34.5,0.0
1b,90,descartes,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,91,row_revile_indexes,fallito,7,0,7,0,0.0,0.0,0.0,0.0,20.0,0.0
1b,92,usage_bound,fallito,7,2,5,0,97.1,90.0,60.0,45.0,0.0,0.0
1b,93,define_neighbours,fallito,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,94,_get_barchart_sizings,non_eseguibile,0,0,0,0,0.0,0.0,0.0,0.0,27.5,0.0
1b,95,flag_meaning,fallito,25,0,25,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,96,coord_finder,fallito,8,0,8,0,0.0,0.0,0.0,0.0,33.3,0.0
1b,97,__transform_coors,fallito,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,98,lumen_type,fallito,8,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
1b,99,judge_1d100_with_7_ver,fallito,7,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0
